canal;campanha;grupo de anúncio;data;impressões;cliques;leads;valor gasto
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45461;1853;20;5;40,33"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45461;1641;10;1;21,6"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45461;1000;5;;18,27"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45460;1931;18;3;38,18"
"facebook;atr_leads | Hyundai Day;LAL Volvo + Interesses Hyundai;45460;815;3;1;17,01"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45460;1517;20;4;26,15"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45460;2099;22;2;42,22"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45460;2151;10;;22,32"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45460;933;5;3;19,1"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45459;1811;15;2;27,69"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45459;1881;17;2;44,19"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45459;2663;13;3;28,4"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45459;690;9;2;14,94"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45458;1464;13;;22,83"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45458;2155;9;2;36,79"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45458;1582;18;4;21,94"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45458;516;9;2;14,78"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45457;1370;16;6;24,15"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45457;1717;20;1;37,85"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45457;1404;11;;17,73"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45457;448;1;;6,94"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45457;592;4;;13,81"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45456;504;4;2;10,65"
"facebook;atr_leads | Hyundai Day;LAL Volvo + Interesses Hyundai;45456;399;1;;6,65"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45456;1411;8;1;23,21"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45456;1808;9;3;38,61"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45456;964;6;3;16,91"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45456;721;5;;9,22"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45456;758;1;;11,53"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45455;169;2;;5,59"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45455;634;7;1;13,09"
"facebook;atr_leads | Hyundai Day;LAL Volvo + Interesses Hyundai;45455;1017;2;1;19,13"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45455;1528;11;2;24,68"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45455;2211;12;4;46,43"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45455;1328;5;1;17,71"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45455;672;2;;9,28"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45455;719;7;3;16,16"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45454;923;6;1;25,87"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45454;1528;10;3;26,17"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45454;2102;18;4;52,67"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45454;1443;17;4;23,03"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45454;905;3;3;13,15"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45454;600;9;1;14,41"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45453;932;15;3;26,8"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45453;1661;14;1;26,88"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45453;538;5;1;14,18"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45453;1358;11;2;37,42"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45453;1488;10;2;24,27"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45453;848;1;;11,53"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45453;683;4;;17,05"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45452;1135;7;;26,97"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45452;1690;14;4;27,07"
